n_qubits,layers,t_density,expected_t_gates,repeat,circuit_seed,task,global_p2_estimate,global_k90_estimate,task_p2,exp_task_p2,k50,k90,k95,k90_lower_bound,k90_over_exp_p2,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms
8,5,0.3,12.0,11,223183440528663957,transported_local_z,2.0012786044759814,330,0.9965776099798654,2.708994708994709,8,34,42,2.1942857142857144,12.55078125,54,8,8,0,6.75
8,5,0.3,12.0,11,223183440528663957,all_pauli,2.0012786044759814,330,2.02373093466583,7.566502463054187,72,263,301,6.128866995073892,34.75846354166667,371,24,24,0,15.458333333333334
8,5,0.3,12.0,12,929787189952061780,local_z,3.1897182759411202,1320,0.5212969236332861,1.6842105263157894,6,13,15,1.3642105263157895,7.71875,16,8,8,0,2.0
8,5,0.3,12.0,12,929787189952061780,local_transverse,3.1897182759411202,1320,1.0125779513263065,2.752688172043011,13,37,41,2.229677419354839,13.441406249999998,47,16,16,0,5.0625
8,5,0.3,12.0,12,929787189952061780,hamiltonian_terms,3.1897182759411202,1320,1.1280594899944107,3.089655172413793,25,80,92,2.5026206896551724,25.892857142857142,108,21,21,0,7.714285714285714
8,5,0.3,12.0,12,929787189952061780,transported_local_z,3.1897182759411202,1320,1.020675161558926,2.7750677506775068,8,32,38,2.2478048780487807,11.53125,48,8,8,0,6.0
8,5,0.3,12.0,12,929787189952061780,all_pauli,3.1897182759411202,1320,3.0924676220748117,22.031376064545046,213,857,1049,17.845414612281488,38.899068196614586,1420,24,24,0,59.166666666666664
8,5,0.3,12.0,13,735932928284409593,local_z,2.6019213192143122,1353,1.2078867036470724,3.34640522875817,12,24,26,2.710588235294118,7.171875,29,8,8,0,4.125
8,5,0.3,12.0,13,735932928284409593,local_transverse,2.6019213192143122,1353,1.6048099660422739,4.976913730255164,29,86,99,4.031300121506683,17.27978515625,119,16,16,0,10.375
8,5,0.3,12.0,13,735932928284409593,hamiltonian_terms,2.6019213192143122,1353,1.4009095734908612,4.058890147225368,42,158,210,3.287701019252548,38.92689732142858,309,21,21,0,16.428571428571427
8,5,0.3,12.0,13,735932928284409593,transported_local_z,2.6019213192143122,1353,1.3442231471992037,3.8352059925093633,13,56,62,3.1065168539325847,14.6015625,72,8,8,0,9.0
8,5,0.3,12.0,13,735932928284409593,all_pauli,2.6019213192143122,1353,3.2235048491112677,25.115993868165557,358,1560,1867,20.3439550332141,62.11181640625001,2366,24,24,0,98.58333333333333
8,5,0.3,12.0,14,535153809566496879,local_z,4.343181365996449,4677,0.9880164776778317,2.6859016393442623,7,47,59,2.1755803278688526,17.498779296875,83,8,8,0,10.375
8,5,0.3,12.0,14,535153809566496879,local_transverse,4.343181365996449,4677,1.4099796382254777,4.095872003999875,18,115,142,3.3176563232398992,28.077049255371094,215,16,16,0,22.6875
